idx,sec,closed
0,0.4403996467590332,-1
1,0.4989948272705078,-1
2,0.5430357456207275,-1
3,0.5630528926849365,-1
4,0.5850725173950195,0
5,0.6331164836883545,0
6,0.6771571636199951,0
7,0.7242000102996826,0
8,0.7452189922332764,0
9,0.7822525501251221,-1
10,0.8262922763824463,-1
11,0.8703324794769287,-1
12,0.9153730869293213,-1
13,0.9624240398406982,-1
14,1.0104596614837646,-1
15,1.0534985065460205,-1
16,1.094536542892456,-1
17,1.1395773887634277,-1
18,1.1856188774108887,-1
19,1.2306597232818604,-1
20,1.2757008075714111,-1
21,1.3207416534423828,1
22,1.3657824993133545,1
23,1.4108233451843262,1
24,1.4568660259246826,1
25,1.5009052753448486,-1
26,1.5499498844146729,-1
27,1.592989444732666,-1
28,1.6360280513763428,-1
29,1.6810693740844727,-1
30,1.7281122207641602,-1
31,1.7711513042449951,-1
32,1.8171937465667725,-1
33,1.862234115600586,-1
34,1.907275676727295,-1
35,1.951314926147461,-1
36,1.9953548908233643,-1
37,2.0443994998931885,-1
38,2.086437702178955,-1
39,2.1324801445007324,-1
40,2.1775295734405518,-1
41,2.221560478210449,-1
42,2.2666075229644775,-1
43,2.3126437664031982,-1
44,2.3576855659484863,-1
45,2.4027256965637207,-1
46,2.44876766204834,-1
47,2.4968111515045166,-1
48,2.5408568382263184,-1
49,2.581894874572754,-1
50,2.628934621810913,-1
51,2.671976089477539,-1
52,2.7200143337249756,-1
53,2.7630536556243896,-1
54,2.811096429824829,-1
55,2.856137990951538,-1
56,2.897174835205078,-1
57,2.944218397140503,-1
58,2.9712419509887695,-1
59,3.021287679672241,-1
60,3.068331003189087,-1
61,3.1083667278289795,-1
62,3.1564106941223145,-1
63,3.197448492050171,-1
64,3.2454922199249268,-1
65,3.2915337085723877,-1
66,3.3325705528259277,1
67,3.367602825164795,1
68,3.4086403846740723,1
69,3.457848310470581,1
70,3.4838716983795166,-1
71,3.528235912322998,-1
72,3.575955629348755,-1
73,3.621997594833374,-1
74,3.658411741256714,-1
75,3.6944453716278076,-1
76,3.7434897422790527,-1
77,3.7855279445648193,-1
78,3.8310930728912354,-1
79,3.876133680343628,-1
80,3.9211742877960205,-1
81,3.963212490081787,-1
82,4.0092549324035645,-1
83,4.054295063018799,-1
84,4.099336624145508,-1
85,4.145378589630127,-1
86,4.189183473587036,-1
87,4.236226558685303,-1
88,4.280266761779785,-1
89,4.326308965682983,-1
90,4.369347810745239,-1
91,4.415389060974121,-1
92,4.460430145263672,-1
93,4.508473873138428,-1
94,4.5375001430511475,-1
95,4.559520244598389,-1
96,4.594552755355835,-1
97,4.641595125198364,-1
98,4.6726233959198,-1
99,4.717664003372192,-1
100,4.7396838665008545,-1
101,4.777718782424927,-1
102,4.821759223937988,-1
103,4.864798307418823,-1
104,4.913842439651489,-1
105,4.956881284713745,-1
106,4.998645067214966,-1
107,5.045687437057495,-1
108,5.088903427124023,-1
109,5.133809566497803,-1
110,5.179851293563843,-1
111,5.224892616271973,-1
112,5.269933462142944,-1
113,5.313973665237427,-1
114,5.35801362991333,-1
115,5.403793573379517,-1
116,5.448834657669067,-1
117,5.495877981185913,-1
