idx,sec,closed
0,0.4804377555847168,-1
1,0.5555057525634766,-1
2,0.61556077003479,-1
3,0.6365911960601807,-1
4,0.6896388530731201,-1
5,0.7487053871154785,-1
6,0.8097548484802246,-1
7,0.868553638458252,-1
8,0.9286081790924072,-1
9,0.9886631965637207,-1
10,1.0497186183929443,-1
11,1.1097729206085205,-1
12,1.1675910949707031,-1
13,1.2286460399627686,0
14,1.2900664806365967,0
15,1.350121021270752,0
16,1.4091744422912598,0
17,1.4692285060882568,0
18,1.5292832851409912,0
19,1.5793285369873047,0
20,1.6330206394195557,-1
21,1.6930749416351318,-1
22,1.7561326026916504,-1
23,1.814185380935669,-1
24,1.8732380867004395,-1
25,1.933293104171753,-1
26,1.9943485260009766,-1
27,2.054403781890869,-1
28,2.114457607269287,-1
29,2.1745128631591797,-1
30,2.2345666885375977,-1
31,2.2846128940582275,-1
32,2.3246490955352783,-1
33,2.384697914123535,-1
34,2.4472382068634033,-1
35,2.5072944164276123,-1
36,2.5663464069366455,-1
37,2.6140260696411133,-1
38,2.6740801334381104,-1
39,2.7341349124908447,-1
40,2.791187047958374,-1
41,2.8382298946380615,-1
42,2.897284984588623,-1
43,2.9593660831451416,-1
44,3.0174031257629395,-1
45,3.0776126384735107,-1
46,3.1396689414978027,-1
47,3.1983015537261963,-1
48,3.2581937313079834,-1
49,3.3201053142547607,-1
50,3.378152370452881,-1
51,3.4031758308410645,-1
52,3.4582126140594482,-1
53,3.515275239944458,-1
54,3.575354814529419,-1
55,3.634409189224243,-1
56,3.6938793659210205,-1
57,3.7555086612701416,-1
58,3.8145556449890137,-1
59,3.8752756118774414,-1
60,3.9373538494110107,-1
61,3.995360851287842,-1
62,4.056419610977173,-1
63,4.100478649139404,-1
64,4.122161865234375,-1
65,4.175768613815308,-1
66,4.236296653747559,-1
67,4.299759387969971,-1
68,4.356659650802612,-1
69,4.416735410690308,-1
70,4.47881007194519,-1
71,4.538277626037598,-1
72,4.5989038944244385,-1
73,4.647948503494263,-1
74,4.677970886230469,-1
75,4.736368179321289,-1
76,4.793443441390991,-1
77,4.843360900878906,-1
78,4.8991172313690186,-1
79,4.96617865562439,-1
80,5.023758888244629,-1
81,5.0803587436676025,-1
82,5.142414808273315,-1
83,5.205042839050293,-1
84,5.234069347381592,-1
85,5.29109525680542,-1
86,5.352280378341675,-1
87,5.405402183532715,-1
88,5.444444894790649,-1
89,5.506191968917847,-1
90,5.561854839324951,-1
91,5.610507011413574,-1
92,5.6693384647369385,-1
93,5.728385925292969,-1
94,5.7904393672943115,-1
95,5.848039865493774,-1
96,5.911116123199463,-1
97,5.971356391906738,-1
98,6.028360843658447,-1
99,6.089538812637329,-1
100,6.150557994842529,-1
101,6.210379600524902,-1
102,6.269832134246826,-1
103,6.330353498458862,-1
104,6.390352249145508,-1
105,6.450352668762207,-1
106,6.512378931045532,-1
107,6.55846381187439,-1
108,6.6193578243255615,-1
109,6.680359363555908,-1
110,6.7374107837677,-1
111,6.798466205596924,-1
112,6.857520341873169,-1
113,6.9175755977630615,-1
114,6.9776294231414795,-1
115,7.040188312530518,-1
116,7.098110675811768,-1
117,7.157303094863892,-1
118,7.219305753707886,-1
119,7.278277158737183,-1
120,7.340333461761475,-1
121,7.397364139556885,-1
122,7.458505392074585,-1
123,7.51855993270874,-1
124,7.577812910079956,-1
125,7.641702651977539,-1
126,7.701005697250366,-1
127,7.761060476303101,-1
128,7.821150541305542,-1
129,7.881717205047607,-1
